None	573
Grant	30
Charles M. Rice	20
Peter Davies	14
Dr. Charles Rice	11
Takaji Wakita	10
Don Gardiner	9
Hugo Bellen	9
C.	9
K. Gull	9
Noboru Mizushima	9
Masayoshi Maeshima	9
N. Nakatsuji	9
Albert Einstein College of Medicine	9
S. L. Dobson	9
Harold Gainer	8
Francis Chisari	8
Steven S. Gross	8
M. Gonzalez-Gaitan	8
Erich Buchner	8
Bryan Crenshaw III	7
Bleackley	7
Deutsche Forschungsgemeinschaft	7
T. Wakita	7
D. Bilder	7
Nahum Sonenberg	7
F. Melchior	7
Volker Gerke	7
Y. Zavros	6
Keith Gull	6
E.M. Rodriguez	6
Craig Roy	6
H. Scott	6
Paula Cohen	6
Bill Earnshaw	6
Monica Justice	6
James Bliska	6
Patrick Skelly	6
rgen Heesemann	6
Jay L. Degen	6
Claire Walczak	6
Arnoud Sonnenberg	6
Grants-in-Aid	6
Cheryl Craft	6
Jay Bangs	6
Charles T. Esmon	6
Charles Rice	6
R. L. Glaser	6
Yasufumi Emori	5
M. McCaffrey	5
Dave Gard	5
Kim Nasmyth	5
Gerhard Adam	5
Li	5
Monospecific	5
ronique Leblanc	5
C. Rice	5
Koh-ichi Nagata	5
Shoji Tajima	5
N. Mizushima	5
Renato Paro	5
Charles Sawyers	5
Akihiko Yoshimura	5
Dr. A. Zantema	5
Mark Field	5
Dr. Hung-Ying Kao	5
B. Etemad-Gilbertson	5
Christine Chaponnier	5
Ralf Enz	5
Jean-Francois Dubremetz	5
Nico P. Dantuma	5
Heinrich Dircksen	5
William Kaelin	5
T. Pestova	5
Dr. C. Rice	5
Ikuko Hara-Nishimura	5
L. Binder	5
Dave Knecht	5
Elaine Fuchs	5
Oliver Hartley	5
Gabriel Travis	5
Cohen	5
Dr. Iver Petersen	5
Muriel Rosa	5
Elena Cattaneo	5
Stefano Stifani	5
Markus	5
Grant RUG	5
David Holden	5
Thomas Jessell	5
Nave	5
Selina Keppler	5
William J. Rhead	5
Sam Gandy	4
MAb	4
M Roussel	4
Tracey Rouault	4
Paul Linser	4
John Buford	4
Dr. Min Lu	4
Merton Bernfield	4
Erik Moore	4
Fanxiu Zhu	4
J. Pla	4
Charles D. Stiles	4
Iain Johnstone	4
Dr. Marja Jaattela	4
Klaus Strebel	4
Warren Strober	4
Gif/Yvette	4
Jens Bukh	4
Mary Ann Accaviti-Loper	4
David Baulcombe	4
Ms. Needa Tichi	4
Brad Lowell	4
Cheryl Lobo	4
Narry V. Kim	4
Jane Dodd	4
William Britt	4
Tesh	4
Elisa Bal	4
Holder	4
G. Firestone	4
Mikael Sigvardsson	4
Dennis Selkoe	4
H.-C. Cheng	4
Teresa Nicolson	4
Jane McGlade	4
Ruth Ashery-Padan	4
John Adams	4
Jon Morrow	4
Mike Blackman	4
Lawrence Berkeley Laboratory	4
Chen	4
Kerby Oberg	4
P. Ehrenberg	4
Ramin Shiekhattar	4
J. Lewis	4
re de la Recherche	4
Brigid Hogan	4
Toshihiro Nakajima	4
Henry Paulson	4
Jerry Schaack	4
Magnuson	4
T. Noce	4
Dr. Gary Kruh	4
J. Eggenschwiler	4
Dr. Cary Wu	4
Alice Barkan	4
Sports	4
Drs Bornens	4
Hassan Jomaa	4
Arturo Casadevall	4
Bhavin Thumar	4
Paul Clapham	4
S. Van Der Werf	4
Dr. Krishna K. Niyogi	4
Samuel Bellais	4
Annemieke Rozemuller	4
David Anderson	4
Shinji Motojima	4
Teruo Hayashi	4
W. Stallcup	4
Jeffrey M. Friedman	4
R Molday	4
Peter Moens	4
Christine Beattie	4
W. J. Lee	4
Roel van Driel	4
Dr Aoyama T.	4
Barna	4
Roscoff	4
Paul Martin	4
Paul Lasko	4
G. Brownlee	4
Andrew Firth	4
J. Skeath	4
Kristian Helin	4
K. Mackie	4
Tony Bretscher	4
Janece M. Lovchik	4
Scheffer	4
D Wassarman	4
M. Swanson	4
Sharon Reed	4
V. Bennett	4
lle Legube	4
Betsda	4
Tom Linsenmayer	4
Robert Bishop	4
Japan.The	4
Larry Fisher	4
Ryuichi Sakai	4
Brien	3
Dr. Mark T. Bedford	3
Zhaoyi Wang	3
Anne Ridley	3
Dr Gregory Pazour	3
Robert S. Molday	3
Duane J. Gubler	3
Dr. Ben O. de Lumen	3
Alan C. Rapraeger	3
David Hill	3
Scott A. Heckathorn	3
Peter Stilwell	3
Edna Gorni	3
U. Schneider	3
Tong Zhou	3
V. Morisset	3
S. Francesconi	3
Ward	3
Charles Stiles	3
Paul Michels	3
Marjorie Robert-Guroff	3
Dr. Xiao-fang Yu	3
Bettina Kewitz	3
Elif Eroglu	3
Elise Nilsson	3
David Westaway	3
Jianhang Jia	3
Polly Roy	3
Harry B Greenberg	3
Bone	3
Wang	3
Christopher Newgard	3
Neil G. Stoker	3
Sean Conner	3
Istvan Ando	3
Herzberg	3
Tony Ip	3
rgen Kleinschmidt	3
Jeffrey H. Miner	3
Reuben Ramphal	3
Anna P. Durbin	3
Meng	3
Tony Pawson	3
A. Tarakhovsky	3
David Fidock	3
Dennis Burton	3
Keiko Tanaka	3
A. Skladanowski	3
Hitoshi Niwa	3
Iain Hagan	3
Martinsried	3
Maureen Hoatlin	3
J. Fidler	3
G. Meister	3
C. Machamer	3
Nicolas Tapon	3
Erin Bromage	3
Alexander Steinle	3
zard	3
Germans Trias I Pujol	3
Wolfgang Nellen	3
J.P.G.-Ballesta	3
Andrew Bicknell	3
Koichi Kawakami	3
Michelle Letarte	3
Y. Nakagawa	3
Aniek Janssen	3
Raska Jr	3
C. A. Thornton	3
Eric Hansen	3
Victor Corces	3
Hiroyuki Miyoshi	3
nyi	3
W. J. Esselman	3
Fedor Berditchevski	3
Dr B Stieger	3
Anu Hakala	3
E. Neufeld	3
Steve Hann	3
G. Cavalli	3
Dr. Mammoliti	3
zardin	3
J. Fransen	3
S.E	3
Hiroshi Kawachi	3
Pamela Stanley	3
I. Stagljar	3
Fran &	3
Greg Winter	3
Robert Kalejta	3
R. Shiekhattar	3
V. Prasad	3
Richard D. Vierstra	3
Campo	3
Dr Nogues	3
S. Jalkanen	3
Johnson	3
Paula Grabowski	3
M. Azim Surani	3
Nabeshima	3
Dr. Che Ma	3
E. Greenberg	3
Andreas Eger	3
Dana Aftab	3
Dr. H. Zoghbi	3
Barco	3
Aristidis Moustakas	3
Paul Greengard	3
Ken Mann	3
Elias Epp	3
Gordon Freeman	3
J. Knoblich	3
Hales	3
Michael O'Connor	3
Peter W. Andrews	3
Zhiyong Wang	3
Frank Gonzales	3
Ricerca Finalizzata	3
P. Chambon	3
Leonard Evans	3
Tadashi Uemura	3
Y. Tanaka	3
John McGeehan	3
Elizabeth Jones	3
Francis V. Chisari	3
Didier Trono	3
T Breen	3
Martin Stern	3
Connor	3
Raymond Hui	3
P. Davies	3
Dr. Miguel Angel Martinez	3
Misao Matsushita	3
Ciaran Morrison	3
Stefan de Folter	3
Chris Sullivan	3
Eric F. Wieschaus	3
Dr. K. Morohashi	3
Hiroshi Takemori	3
Dudley Strickland	3
F. Juge	3
Lester Binder	3
Chris Franklin	3
Joan Brugge	3
K. Rottner	3
