None (None)	573
Grant (None)	28
Charles M. Rice (None)	19
Peter Davies (None)	13
Takaji Wakita (None)	10
K. Gull (None)	9
Don Gardiner (None)	9
N. Nakatsuji (None)	9
Noboru Mizushima (None)	9
C. (None)	9
Hugo Bellen (None)	9
S. L. Dobson (None)	9
Francis Chisari (None)	8
Steven S. Gross (Weill Medical College)	8
Masayoshi Maeshima (None)	8
Dr. Charles Rice (Rockefeller University)	8
Albert Einstein College of Medicine (None)	8
M. Gonzalez-Gaitan (None)	8
Volker Gerke (None)	7
Bryan Crenshaw III (Children &)	7
T. Wakita (None)	7
Nahum Sonenberg (None)	7
Harold Gainer (NIH)	7
F. Melchior (None)	7
Bleackley (University of Alberta)	7
D. Bilder (None)	7
Charles T. Esmon (None)	6
Grants-in-Aid (None)	6
Paula Cohen (None)	6
Monica Justice (None)	6
rgen Heesemann (None)	6
Y. Zavros (None)	6
Patrick Skelly (Tufts University)	6
Arnoud Sonnenberg (None)	6
Craig Roy (None)	6
Bill Earnshaw (None)	6
Jay L. Degen (None)	6
H. Scott (None)	6
James Bliska (None)	6
Erich Buchner (None)	6
E.M. Rodriguez (None)	6
R. L. Glaser (None)	6
Dr. A. Zantema (None)	5
L. Binder (Northwestern University)	5
Dave Gard (University of Utah)	5
Dr. C. Rice (None)	5
Nico P. Dantuma (None)	5
Mark Field (None)	5
Gabriel Travis (None)	5
Muriel Rosa (None)	5
Dr. Hung-Ying Kao (None)	5
B. Etemad-Gilbertson (None)	5
Oliver Hartley (None)	5
Koh-ichi Nagata (None)	5
C. Rice (None)	5
David Holden (None)	5
Dr. Iver Petersen (None)	5
Selina Keppler (None)	5
Li (None)	5
Cohen (None)	5
Markus (None)	5
William Kaelin (None)	5
Heinrich Dircksen (University of Stockholm)	5
Monospecific (None)	5
Elaine Fuchs (Rockefeller University)	5
N. Mizushima (None)	5
Ralf Enz (None)	5
Jay Bangs (None)	5
ronique Leblanc (None)	5
William J. Rhead (None)	5
Shoji Tajima (Osaka University)	5
Ikuko Hara-Nishimura (None)	5
Kim Nasmyth (None)	5
M. McCaffrey (University College Cork)	5
Renato Paro (None)	5
T. Pestova (None)	5
Jean-Francois Dubremetz (None)	5
Elena Cattaneo (Dorotea Rigamonti)	5
Charles Sawyers (None)	5
Grant RUG (None)	5
Yasufumi Emori (Department of Biophysics)	5
Gerhard Adam (None)	5
Nave (None)	5
Dave Knecht (None)	5
Claire Walczak (None)	5
Jeffrey M. Friedman (Rockefeller University)	4
Elisa Bal (None)	4
Roel van Driel (None)	4
re de la Recherche (Sanofi-Aventis)	4
Jane Dodd (None)	4
Samuel Bellais (Asmaa Tazi)	4
Dr. Marja Jaattela (None)	4
J. Eggenschwiler (Princeton University)	4
Teresa Nicolson (None)	4
Betsda (None)	4
Annemieke Rozemuller (None)	4
Lawrence Berkeley Laboratory (None)	4
Christine Beattie (None)	4
Gif/Yvette (None)	4
Tesh (UTMB)	4
Ramin Shiekhattar (None)	4
Sam Gandy (None)	4
Jon Morrow (Yale University)	4
lle Legube (None)	4
Barna (None)	4
Dr Aoyama T. (Kyoto University)	4
V. Bennett (None)	4
Arturo Casadevall (None)	4
Dr. Cary Wu (None)	4
S. Van Der Werf (Institut Pasteur)	4
Tony Bretscher (None)	4
Thomas Jessell (None)	4
Ms. Needa Tichi (None)	4
W. J. Lee (None)	4
Sports (None)	4
Deutsche Forschungsgemeinschaft (None)	4
Shinji Motojima (None)	4
Klaus Strebel (None)	4
Roscoff (None)	4
Tracey Rouault (None)	4
W. Stallcup (None)	4
Magnuson (None)	4
Ryuichi Sakai (None)	4
R Molday (None)	4
Narry V. Kim (None)	4
John Adams (None)	4
Andrew Firth (University College Cork)	4
Dennis Selkoe (Harvard Medical School)	4
Erik Moore (None)	4
Stefano Stifani (McGill University)	4
Tom Linsenmayer (Tufts University)	4
Hassan Jomaa (None)	4
Ruth Ashery-Padan (None)	4
J. Lewis (None)	4
Scheffer (None)	4
J. Pla (None)	4
Dr. Krishna K. Niyogi (UC)	4
P. Ehrenberg (None)	4
Teruo Hayashi (None)	4
Jerry Schaack (None)	4
Brad Lowell (None)	4
John Buford (None)	4
Mary Ann Accaviti-Loper (None)	4
Jane McGlade (None)	4
Brigid Hogan (None)	4
Charles D. Stiles (None)	4
William Britt (UAB)	4
Robert Bishop (None)	4
Iain Johnstone (None)	4
Alice Barkan (None)	4
G. Brownlee (None)	4
H.-C. Cheng (St Vincent &)	4
Sharon Reed (None)	4
Japan.The (None)	4
Paul Lasko (None)	4
Cheryl Lobo (None)	4
David Anderson (None)	4
Toshihiro Nakajima (Tokyo Medical University)	4
Henry Paulson (None)	4
Merton Bernfield (None)	4
Chen (None)	4
D Wassarman (None)	4
Bhavin Thumar (None)	4
G. Firestone (None)	4
MAb (None)	4
Kerby Oberg (None)	4
Drs Bornens (None)	4
J. Skeath (None)	4
Peter Moens (None)	4
Mike Blackman (None)	4
Cheryl Craft (None)	4
Dr. Min Lu (None)	4
Janece M. Lovchik (None)	4
K. Mackie (None)	4
Mikael Sigvardsson (None)	4
M. Swanson (None)	4
Holder (NIMR)	4
Warren Strober (None)	4
T. Noce (None)	4
Dr. Gary Kruh (University of Illinois)	4
Paul Linser (None)	4
Paul Clapham (UMASS Medical School)	4
M Roussel (None)	4
Gail Barcelo (None)	3
P. (R &)	3
Dr. Ben O. de Lumen (None)	3
John McGeehan (None)	3
Germans Trias I Pujol (None)	3
P. Chambon (None)	3
R. Ueda (None)	3
Zhaoyi Wang (None)	3
Dr. Mark T. Bedford (None)	3
Dr Gregory Pazour (None)	3
Robert S. Molday (None)	3
Keiji Tanaka (None)	3
Peter Sebo (None)	3
zardin (INSERM Research Unit)	3
Dr. Xiao-fang Yu (None)	3
P. Davies (None)	3
Keiko Tanaka (Department of Neurology)	3
G. Struhl (None)	3
Walter Birchmeier (None)	3
Y. Nakagawa (None)	3
J.P.G.-Ballesta (None)	3
Richard Kasksak (None)	3
A. Komeili (None)	3
Ricerca Finalizzata (None)	3
Anna P. Durbin (None)	3
Johnson (None)	3
J. Fransen (Nijmegen)	3
A. Wani (Ohio State University)	3
Josh Gamse (None)	3
Elias Epp (None)	3
Dr. G. Gerisch (None)	3
Dietmar Vestweber (None)	3
Wolfgang Nellen (None)	3
Michael O'Connor (None)	3
Nicolas Tapon (None)	3
Francois Nosten (None)	3
Herzberg (None)	3
Bettina Kewitz (None)	3
Eric F. Wieschaus (None)	3
rgen Kleinschmidt (DKFZ)	3
Ken Mann (None)	3
